epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2362.89,1.26262,1.51234,1.47812,0.65705,0.21333,0.25936,0.06952,2.35623,3.43997,2.43233,0.00101166,0.00101166,0.00101166
61,2403.72,1.2567,1.51011,1.44752,0.20295,0.12582,0.22075,0.06077,2.47234,3.48217,2.60506,0.00100459,0.00100459,0.00100459
62,2442.93,1.26696,1.50218,1.42607,0.40865,0.06007,0.12682,0.0387,2.6401,3.5186,2.79088,0.000997513,0.000997513,0.000997513
63,2481.64,1.21806,1.45237,1.43217,0.04707,0.05333,0.05932,0.01576,2.88979,3.73223,2.98527,0.00099044,0.00099044,0.00099044
64,2520.82,1.17979,1.33395,1.37784,0.72904,0.02667,0.02158,0.00711,2.86507,3.79308,2.89173,0.000983366,0.000983366,0.000983366
65,2559.61,1.26079,1.49489,1.48479,0.68923,0.04,0.02139,0.00704,2.84194,3.67628,2.84193,0.000976293,0.000976293,0.000976293
66,2598.82,1.14066,1.37425,1.35154,0.7033,0.18666,0.22535,0.03469,2.65104,3.48227,2.80794,0.000969219,0.000969219,0.000969219
67,2637.94,1.18261,1.42014,1.37428,0.50651,0.13333,0.1745,0.03398,2.51399,3.25468,2.67048,0.000962146,0.000962146,0.000962146
68,2676.89,1.17999,1.35772,1.35575,0.533,0.16,0.23761,0.0704,2.46297,3.1341,2.46332,0.000955072,0.000955072,0.000955072
69,2715.85,1.20628,1.4185,1.40224,0.55909,0.18667,0.1798,0.07234,2.62677,3.01814,2.71696,0.000947999,0.000947999,0.000947999
70,2754.81,1.11307,1.2681,1.3218,0.70792,0.22667,0.30568,0.08041,2.69675,3.0932,2.72225,0.000940925,0.000940925,0.000940925
71,2793.79,1.06753,1.28291,1.3513,0.18993,0.22667,0.22442,0.09345,2.64855,3.05496,2.67933,0.000933851,0.000933851,0.000933851
72,2832.82,1.14346,1.23345,1.35092,0.82407,0.32,0.37909,0.12549,2.56901,2.94462,2.56118,0.000926778,0.000926778,0.000926778
73,2871.69,1.06153,1.23442,1.28806,0.68175,0.34667,0.33209,0.12084,2.5205,2.93716,2.52918,0.000919704,0.000919704,0.000919704
74,2910.45,1.07689,1.27948,1.31718,0.75053,0.28421,0.36076,0.14224,2.53159,3.09828,2.52345,0.000912631,0.000912631,0.000912631
75,2949.35,1.12629,1.24044,1.32227,0.57217,0.24547,0.21789,0.0578,2.61297,3.40537,2.60299,0.000905557,0.000905557,0.000905557
76,2988.37,1.05147,1.18715,1.28927,0.49708,0.06667,0.07292,0.02114,2.75144,3.52626,2.91765,0.000898484,0.000898484,0.000898484
77,3027.19,1.06759,1.16164,1.25256,0.46305,0.13333,0.11219,0.03149,2.77088,3.44232,2.96957,0.00089141,0.00089141,0.00089141
78,3065.97,1.06379,1.25987,1.29954,0.69224,0.18667,0.18099,0.05334,2.72012,3.19085,2.90807,0.000884337,0.000884337,0.000884337
79,3104.97,1.12301,1.26501,1.30279,0.81675,0.17333,0.21641,0.07437,2.55408,3.2087,2.76569,0.000877263,0.000877263,0.000877263
80,3144.06,1.11885,1.23885,1.28192,0.68791,0.14667,0.1746,0.0784,2.52091,3.56427,2.68629,0.00087019,0.00087019,0.00087019
81,3183.21,1.08246,1.2367,1.28337,0.34952,0.2,0.17519,0.05547,2.47013,3.60249,2.64109,0.000863116,0.000863116,0.000863116
82,3222.21,1.10673,1.23789,1.31141,0.1978,0.16,0.09361,0.02382,2.61837,3.58514,2.70562,0.000856042,0.000856042,0.000856042
83,3261.15,1.04686,1.15658,1.23311,0.0483,0.02667,0.02917,0.00844,2.87769,3.82132,2.92764,0.000848969,0.000848969,0.000848969
84,3300.02,1.01207,1.07199,1.23261,0.12273,0.04,0.04715,0.01365,3.01371,3.84268,3.10851,0.000841895,0.000841895,0.000841895
